recipient_ein,recipient_name,recipient_city,recipient_state,recipient_country,grantor_ein,grantor_org_name,grantor_dba_name,grantor_city,grantor_state,grantor_zip,tax_year,return_type,period_end,filing_id,cash_amount,noncash_amount,total_amount,purpose,grant_id,reported_recipient_ein,reported_recipient_name,final_match_source,final_confidence,deterministic_match_status,deterministic_match_method,deterministic_confidence,ai_decision,ai_confidence
472772048,Learning Policy Institute,PALO ALTO,CA,US,941655673,THE WILLIAM & FLORA HEWLETT FOUNDATION,,MENLO PARK,CA,94025,2024,990PF,2024-12-31,202523189349102727_public,1250000,,1250000,FOR GENERAL OPERATING SUPPORT,13998949,,LEARNING POLICY INSTITUTE,deterministic,0.97,name_address_high_confidence,name_zip_exact,0.97,,
472772048,Learning Policy Institute,PALO ALTO,CA,US,311774905,GS DONOR ADVISED PHILANTHROPY FUND,FOR WEALTH MANAGEMENT INC,NEW YORK,NY,10282,2024,990,2024-12-31,202503109349303645_public,1100000,,1100000,EDUCATION,13348399,472772048,LEARNING POLICY INSTITUTE,deterministic,0.99,ein_exact,reported_ein_known_name_agrees,0.99,,
472772048,Learning Policy Institute,PALO ALTO,CA,US,260799587,THE HEISING-SIMONS FOUNDATION,,LOS ALTOS,CA,94022,2024,990PF,2024-12-31,202543219349106499_public,780000,,780000,FOR GENERAL SUPPORT,13896859,,LEARNING POLICY INSTITUTE,deterministic,0.97,name_address_high_confidence,name_zip_exact,0.97,,
472772048,Learning Policy Institute,PALO ALTO,CA,US,136183757,The Wallace Foundation,,New York,NY,10005,2024,990PF,2024-12-31,202503219349107905_public,653372,,653372,To study the professional-development needs and experiences of principals.,13483073,,Learning Policy Institute,deterministic,0.97,name_address_high_confidence,name_zip_exact,0.97,,
472772048,Learning Policy Institute,PALO ALTO,CA,US,943380194,SKYLINE FOUNDATION,,SAN FRANCISCO,CA,94109,2024,990PF,2024-12-31,202543199349100949_public,500000,,500000,GENERAL SUPPORT,13868871,,LEARNING POLICY INSTITUTE,deterministic,0.97,name_address_high_confidence,name_zip_exact,0.97,,
472772048,Learning Policy Institute,PALO ALTO,CA,US,562618866,GATES FOUNDATION,,SEATTLE,WA,98102,2024,990PF,2024-12-31,202523189349103667_public,341970,,341970,K-12 EDUCATION; PUBLIC AWARENESS AND ANALYSIS,14006291,,LEARNING POLICY INSTITUTE,deterministic,0.97,name_address_high_confidence,name_zip_exact,0.97,,
472772048,Learning Policy Institute,PALO ALTO,CA,US,912173492,RAIKES FOUNDATION,,SEATTLE,WA,981039814,2024,990PF,2024-12-31,202513179349103971_public,300000,,300000,GENERAL OPERATING SUPPORT,14240096,,LEARNING POLICY INSTITUTE,deterministic,0.97,name_address_high_confidence,name_zip_exact,0.97,,
472772048,Learning Policy Institute,PALO ALTO,CA,US,813588323,KELSON FOUNDATION,,SAN FRANCISCO,CA,94109,2024,990PF,2024-12-31,202513179349103806_public,200000,,200000,GENERAL SUPPORT,14239592,,LEARNING POLICY INSTITUTE,deterministic,0.97,name_address_high_confidence,name_zip_exact,0.97,,
472772048,Learning Policy Institute,PALO ALTO,CA,US,136183757,The Wallace Foundation,,New York,NY,10005,2024,990PF,2024-12-31,202503219349107905_public,200000,,200000,To support the organization's Whole Child Policy Table.,13483110,,Learning Policy Institute,deterministic,0.97,name_address_high_confidence,name_zip_exact,0.97,,
472772048,Learning Policy Institute,PALO ALTO,CA,US,770348912,THE SOBRATO FAMILY FOUNDATION,,MOUNTAIN VIEW,CA,94041,2024,990PF,2024-12-31,202523219349105832_public,175000,,175000,TO DEVELOP ACTIONABLE RESEARCH THAT CAPTURES AND ELEVATES PROMISING PRACTICES FOR SUPPORTING EL SUCCESS,14051347,,LEARNING POLICY INSTITUTE,deterministic,0.97,name_address_high_confidence,name_zip_exact,0.97,,
472772048,Learning Policy Institute,PALO ALTO,CA,US,136183757,The Wallace Foundation,,New York,NY,10005,2024,990PF,2024-12-31,202503219349107905_public,150000,,150000,"To commission a think piece exploring links among chronic student absenteeism, teacher workforces, and school leaders.",13483072,,Learning Policy Institute,deterministic,0.97,name_address_high_confidence,name_zip_exact,0.97,,
