section,metric,bucket,count,signatures,grants_represented,total_amount,pct_of_grants,pct_of_section,notes
raw_grants,total_grants,,19713817,,,1967408301468.0,100.0,,
raw_grants,reported_recipient_ein,blank,13454360,,,,68.25,,
raw_grants,reported_recipient_ein,nonblank,6259457,,,,31.75,,
raw_grants,top_reported_recipient_ein_values,(blank),13454360,,,794029285709.0,68.25,,
raw_grants,top_reported_recipient_ein_values,000000000,9177,,,2044101472.0,0.05,,
raw_grants,top_reported_recipient_ein_values,530196605,7349,,,1046499738.0,0.04,,
raw_grants,top_reported_recipient_ein_values,530196617,7110,,,607075215.0,0.04,,
raw_grants,top_reported_recipient_ein_values,580660607,4810,,,498947067.0,0.02,,
raw_grants,top_reported_recipient_ein_values,135613797,4769,,,447354669.0,0.02,,
raw_grants,top_reported_recipient_ein_values,131788491,4168,,,320437986.0,0.02,,
raw_grants,top_reported_recipient_ein_values,999999999,3819,,,2359245786.0,0.02,,
raw_grants,top_reported_recipient_ein_values,135562351,3706,,,313151815.0,0.02,,
raw_grants,top_reported_recipient_ein_values,620646012,3653,,,9394676658.0,0.02,,
raw_grants,top_reported_recipient_ein_values,941156365,3578,,,4580602191.0,0.02,,
raw_grants,top_reported_recipient_ein_values,386006309,3445,,,1398658390.0,0.02,,
raw_grants,top_reported_recipient_ein_values,231352685,3345,,,1388557438.0,0.02,,
raw_grants,top_reported_recipient_ein_values,520595110,3310,,,6328742494.0,0.02,,
raw_grants,top_reported_recipient_ein_values,840385934,3232,,,535177187.0,0.02,,
raw_grants,top_reported_recipient_ein_values,135598093,3023,,,1279793430.0,0.02,,
raw_grants,top_reported_recipient_ein_values,530242652,2977,,,1169064665.0,0.02,,
raw_grants,top_reported_recipient_ein_values,042103580,2777,,,2447853159.0,0.01,,
raw_grants,top_reported_recipient_ein_values,560532129,2768,,,16417116990.0,0.01,,
raw_grants,top_reported_recipient_ein_values,133039601,2728,,,301950288.0,0.01,,
raw_grants,top_reported_recipient_ein_values,060646973,2609,,,1326394307.0,0.01,,
raw_grants,top_reported_recipient_ein_values,566001393,2373,,,2351473629.0,0.01,,
raw_grants,top_reported_recipient_ein_values,746000203,2359,,,1346329440.0,0.01,,
raw_grants,top_reported_recipient_ein_values,941156347,2312,,,375230527.0,0.01,,
raw_grants,top_reported_recipient_ein_values,133433452,2301,,,744793504.0,0.01,,
raw_grants,grant_rows_by_filer_return_type,990PF,13035730,,,719111490070.0,66.12,,
raw_grants,grant_rows_by_filer_return_type,990,6678087,,,1248296811398.0,33.88,,
deterministic_resolver,total_rows,,19713817,,,1967408301468.0,100.0,,
